0.99	0.99	0.88	0.83	0.81	0.81	0.59	0.45	0.29	0.88	0.49	0.81	0.99	0.88	0.81	0.59	0.15	0.59	0.59	0.59	0.59
0.97	0.97	0.87	0.81	0.79	0.79	0.55	0.43	0.25	0.87	0.49	0.79	0.97	0.87	0.79	0.55	0.15	0.55	0.55	0.55	0.55
1	0.99	0.88	0.8	0.77	0.77	0.55	0.41	0.25	0.88	0.46	0.77	0.99	0.88	0.77	0.55	0.16	0.55	0.55	0.55	0.55
1	0.99	0.85	0.77	0.76	0.76	0.52	0.35	0.2	0.85	0.44	0.76	0.99	0.85	0.76	0.52	0.17	0.52	0.52	0.52	0.52
0.98	0.97	0.9	0.82	0.81	0.81	0.57	0.42	0.25	0.9	0.48	0.81	0.97	0.9	0.81	0.57	0.18	0.57	0.57	0.57	0.57
0.98	0.97	0.88	0.79	0.77	0.77	0.53	0.36	0.18	0.88	0.46	0.77	0.97	0.88	0.77	0.53	0.15	0.53	0.53	0.53	0.53
0.98	0.97	0.89	0.85	0.83	0.83	0.61	0.39	0.23	0.89	0.52	0.83	0.97	0.89	0.83	0.61	0.14	0.61	0.61	0.61	0.61
0.98	0.97	0.88	0.81	0.78	0.78	0.53	0.35	0.21	0.88	0.46	0.78	0.97	0.88	0.78	0.53	0.19	0.53	0.53	0.53	0.53
0.98	0.98	0.92	0.84	0.82	0.82	0.56	0.4	0.23	0.92	0.49	0.82	0.98	0.92	0.82	0.56	0.19	0.56	0.56	0.56	0.56
0.98	0.97	0.9	0.86	0.83	0.83	0.59	0.39	0.22	0.9	0.51	0.83	0.97	0.9	0.83	0.59	0.16	0.59	0.59	0.59	0.59
0.984	0.977	0.885	0.818	0.797	0.797	0.56	0.395	0.231	0.885	0.48	0.797	0.977	0.885	0.797	0.56	0.164	0.56	0.56	0.56	0.56
